[2025-11-30 18:23:50] User: testuser_1 | Action: REGISTER | Details: New user registered
[2025-11-30 18:23:51] User: testuser_1 | Action: LOGIN | Details: User logged in
[2025-11-30 18:23:51] User: testuser_1 | Action: DISCONNECT | Details: User disconnected
[2025-11-30 18:23:51] User: testuser_2 | Action: REGISTER | Details: New user registered
[2025-11-30 18:23:52] User: testuser_2 | Action: LOGIN | Details: User logged in
[2025-11-30 18:23:52] User: testuser_2 | Action: ADD_FRIEND | Details: testuser_1
[2025-11-30 18:23:52] User: testuser_2 | Action: SEND_MESSAGE | Details: testuser_1
[2025-11-30 18:23:52] User: testuser_2 | Action: DISCONNECT | Details: User disconnected
[2025-11-30 18:23:53] User: testuser_3 | Action: REGISTER | Details: New user registered
[2025-11-30 18:23:53] User: testuser_3 | Action: LOGIN | Details: User logged in
[2025-11-30 18:23:53] User: testuser_3 | Action: ADD_FRIEND | Details: testuser_2
[2025-11-30 18:23:54] User: testuser_3 | Action: SEND_MESSAGE | Details: testuser_2
[2025-11-30 18:23:54] User: testuser_3 | Action: DISCONNECT | Details: User disconnected
[2025-11-30 18:23:54] User: testuser_4 | Action: REGISTER | Details: New user registered
[2025-11-30 18:23:55] User: testuser_4 | Action: LOGIN | Details: User logged in
[2025-11-30 18:23:55] User: testuser_4 | Action: ADD_FRIEND | Details: testuser_3
[2025-11-30 18:23:55] User: testuser_4 | Action: SEND_MESSAGE | Details: testuser_3
[2025-11-30 18:23:56] User: testuser_4 | Action: DISCONNECT | Details: User disconnected
[2025-11-30 18:23:56] User: testuser_5 | Action: REGISTER | Details: New user registered
[2025-11-30 18:23:56] User: testuser_5 | Action: LOGIN | Details: User logged in
[2025-11-30 18:23:57] User: testuser_5 | Action: ADD_FRIEND | Details: testuser_4
[2025-11-30 18:23:57] User: testuser_5 | Action: SEND_MESSAGE | Details: testuser_4
[2025-11-30 18:23:57] User: testuser_5 | Action: DISCONNECT | Details: User disconnected
[2025-11-30 18:31:48] User: testuser1 | Action: REGISTER | Details: New user registered
[2025-11-30 18:31:48] User: testuser2 | Action: REGISTER | Details: New user registered
[2025-11-30 18:31:49] User: testuser1 | Action: LOGIN | Details: User logged in
[2025-11-30 18:31:49] User: testuser1 | Action: ADD_FRIEND | Details: testuser2
[2025-11-30 18:31:49] User: testuser1 | Action: SEND_MESSAGE | Details: testuser2
[2025-11-30 18:31:50] User: testuser1 | Action: SEND_MESSAGE | Details: testuser2
[2025-11-30 18:31:50] User: testuser1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 18:38:04] User: offline_user1 | Action: REGISTER | Details: New user registered
[2025-11-30 18:38:04] User: offline_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 18:38:04] User: offline_user2 | Action: REGISTER | Details: New user registered
[2025-11-30 18:38:05] User: offline_user1 | Action: ADD_FRIEND | Details: offline_user2
[2025-11-30 18:38:05] User: offline_user1 | Action: SEND_MESSAGE | Details: offline_user2
[2025-11-30 18:38:05] User: offline_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 18:38:06] User: offline_user2 | Action: LOGIN | Details: User logged in
[2025-11-30 18:38:16] User: offline_user2 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 18:42:36] User: pin_user1 | Action: REGISTER | Details: New user registered
[2025-11-30 18:42:37] User: pin_user2 | Action: REGISTER | Details: New user registered
[2025-11-30 18:42:37] User: pin_user2 | Action: LOGIN | Details: User logged in
[2025-11-30 18:42:38] User: pin_user2 | Action: SEND_MESSAGE | Details: pin_user2
[2025-11-30 18:42:38] User: pin_user2 | Action: SEND_MESSAGE | Details: pin_user2
[2025-11-30 18:42:38] User: pin_user2 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 18:44:27] User: pin_user2 | Action: LOGIN | Details: User logged in
[2025-11-30 18:44:28] User: pin_user2 | Action: SEND_MESSAGE | Details: pin_user2
[2025-11-30 18:44:28] User: pin_user2 | Action: SEND_MESSAGE | Details: pin_user2
[2025-11-30 18:44:28] User: pin_user2 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 18:45:34] User: search_user1 | Action: REGISTER | Details: New user registered
[2025-11-30 18:45:34] User: search_user2 | Action: REGISTER | Details: New user registered
[2025-11-30 18:45:35] User: search_user2 | Action: LOGIN | Details: User logged in
[2025-11-30 18:45:35] User: search_user2 | Action: SEND_MESSAGE | Details: search_user2
[2025-11-30 18:45:36] User: search_user2 | Action: SEND_MESSAGE | Details: search_user2
[2025-11-30 18:45:36] User: search_user2 | Action: SEARCH_HISTORY | Details: test
[2025-11-30 18:45:36] User: search_user2 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 18:46:41] User: block_userA | Action: REGISTER | Details: New user registered
[2025-11-30 18:46:41] User: block_userB | Action: REGISTER | Details: New user registered
[2025-11-30 18:46:42] User: block_userA | Action: LOGIN | Details: User logged in
[2025-11-30 18:46:42] User: block_userA | Action: BLOCK_USER | Details: block_userB
[2025-11-30 18:46:42] User: block_userA | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 18:47:05] User: block_userA | Action: LOGIN | Details: User logged in
[2025-11-30 18:47:05] User: block_userA | Action: BLOCK_USER | Details: block_userB
[2025-11-30 18:47:06] User: block_userA | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 18:47:38] User: block_userA | Action: LOGIN | Details: User logged in
[2025-11-30 18:47:38] User: block_userA | Action: BLOCK_USER | Details: block_userB
[2025-11-30 18:47:38] User: block_userA | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 18:48:21] User: block_userA | Action: LOGIN | Details: User logged in
[2025-11-30 18:48:21] User: block_userA | Action: BLOCK_USER | Details: block_userB
[2025-11-30 18:48:21] User: block_userA | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 18:55:16] User: hust123 | Action: LOGIN | Details: User logged in
[2025-11-30 18:55:48] User: test_userA | Action: REGISTER | Details: New user registered
[2025-11-30 18:56:20] User: test_userB | Action: REGISTER | Details: New user registered
[2025-11-30 18:56:31] User: test_userA | Action: LOGIN | Details: User logged in
[2025-11-30 18:56:50] User: test_userB | Action: LOGIN | Details: User logged in
[2025-11-30 18:57:07] User: test_userB | Action: DISCONNECT | Details: User disconnected
[2025-11-30 18:57:44] User: test_userA | Action: ADD_FRIEND | Details: test_userB
[2025-11-30 18:58:59] User: test_userA | Action: SEND_MESSAGE | Details: test_userB
[2025-11-30 18:59:10] User: test_userB | Action: LOGIN | Details: User logged in
[2025-11-30 19:03:18] User: test_userA | Action: BLOCK_USER | Details: test_userB
[2025-11-30 19:03:50] User: test_userA | Action: UNBLOCK_USER | Details: test_userB
[2025-11-30 19:04:11] User: test_userB | Action: SEND_MESSAGE | Details: test_userA
[2025-11-30 19:05:25] User: test_userA | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:05:25] User: test_userB | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:08:14] User: ui_user1 | Action: REGISTER | Details: New user registered
[2025-11-30 19:08:15] User: ui_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:08:15] User: ui_user2 | Action: REGISTER | Details: New user registered
[2025-11-30 19:08:15] User: ui_user2 | Action: LOGIN | Details: User logged in
[2025-11-30 19:08:16] User: ui_user1 | Action: ADD_FRIEND | Details: ui_user2
[2025-11-30 19:08:16] User: ui_user1 | Action: GET_FRIENDS | Details: Retrieved friend list
[2025-11-30 19:08:16] User: ui_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:08:16] User: ui_user2 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:00] User: session_user1 | Action: REGISTER | Details: New user registered
[2025-11-30 19:13:01] User: session_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:01] User: session_user1 | Action: SESSION_TERMINATED | Details: Old session closed by new login
[2025-11-30 19:13:01] User: session_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:01] User: session_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:02] User: session_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:02] User: stream_user1 | Action: REGISTER | Details: New user registered
[2025-11-30 19:13:03] User: stream_user2 | Action: REGISTER | Details: New user registered
[2025-11-30 19:13:03] User: stream_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:03] User: stream_user1 | Action: SEND_MESSAGE | Details: stream_user2
[2025-11-30 19:13:04] User: stream_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:04] User: format_user1 | Action: REGISTER | Details: New user registered
[2025-11-30 19:13:04] User: format_user2 | Action: REGISTER | Details: New user registered
[2025-11-30 19:13:05] User: format_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:05] User: format_user1 | Action: SEND_MESSAGE | Details: format_user2
[2025-11-30 19:13:05] User: format_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:06] User: offline_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:07] User: offline_user1 | Action: SEND_MESSAGE | Details: offline_user2
[2025-11-30 19:13:07] User: offline_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:08] User: offline_user2 | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:11] User: offline_user2 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:12] User: search_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:12] User: search_user1 | Action: SEND_MESSAGE | Details: search_user2
[2025-11-30 19:13:13] User: search_user1 | Action: SEARCH_HISTORY | Details: keyword
[2025-11-30 19:13:13] User: search_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:14] User: block_userA | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:14] User: block_userA | Action: BLOCK_USER | Details: block_userB
[2025-11-30 19:13:15] User: block_userA | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:16] User: friend_user1 | Action: REGISTER | Details: New user registered
[2025-11-30 19:13:17] User: friend_user2 | Action: REGISTER | Details: New user registered
[2025-11-30 19:13:17] User: friend_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:17] User: friend_user1 | Action: ADD_FRIEND | Details: friend_user2
[2025-11-30 19:13:18] User: friend_user1 | Action: GET_FRIENDS | Details: Retrieved friend list
[2025-11-30 19:13:18] User: friend_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:44] User: session_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:44] User: session_user1 | Action: SESSION_TERMINATED | Details: Old session closed by new login
[2025-11-30 19:13:44] User: session_user1 | Action: LOGOUT | Details: User logged out (connection closed)
[2025-11-30 19:13:44] User: session_user1 | Action: LOGIN | Details: User logged in
[2025-11-30 19:13:45] User: session_user1 | Action: LOGOUT | Details: User logged out (connection closed)
